name,state,city,address,lattitude,longitude,type
Peep Kitchen ,Karnataka,goa,"Risara Luxury , Ground Floor , Taliegao Market Road , Near Taliegao Near Taliegao Community Centre Taliegao, Panaji, Goa",15.47,73.8261271,6.0
Blive HO,Karnataka,goa,"Plot No. 22-B, GF-1, Happy Home Co-op. Soc, La Campala Colony, Miramar, Panaji, Goa",15.48,73.8135871,6.0
Karkhana - The Food Garage,Karnataka,raipur,"SHOP No. 12 JAI SHADARAM MARKET DHAMTARI ROAD, NH30, Raipur, Chhattisgarh ",21.18,81.7015232,6.0
Jyoti Guest House,Karnataka,jaipur,"8/238, Sector 8, Malviya Nagar, Jaipur",26.84,75.8037396,6.0
Xperia,Karnataka,ahmedabad,"Opposite Radhe Fortune, Bhat Circle, S.P Ring Road, Ah,edabad",23.11,72.6288522,6.0
Ather Space - Gujranwala Town,Tamil Nadu,Delhi,"A 11, GT Karnal Rd, near Vinayak Hospital, Block A, Gujranwala Town, Delhi, 110009",28.69,77.1833274,6.0
Navneet Institute,Tamil Nadu,ahmedabad,"101-102, Prarthana Complex, nr. Kakadia Hospital, opp. Dinesh Chambers, Bapunagar, Ahmedabad, Gujarat ",23.04,72.6307112,6.0
Shri Laxmi Kedar Jewellers,Telangana,nashik,"Jijamata Rd, Bhandi Bazar, Saraf Bazar, Panchavati, Nashik, Maharashtra",20.0,73.791297380718,6.0
The Emerald Resort,Telangana,pune,"Lonavala Annexe,Somatne, Old Mumbai - Pune Hwy, Near Pioneer Hospital, Tukaram Nagar, Talegaon Dabhade, Maharashtra ",18.7,73.6822930730169,6.0
Inox Bund Garden Road,Telangana,pune,"Plot No.D, Bund Garden Rd, Pune, Maharashtra",18.52,73.8779382,6.0
Black Spate,Telangana,jaipur,"G-6, Shreenath Tower, Sector 2, Central Spine, Vidyadhar Nagar",26.96,75.7810224,6.0
Barista,Telangana,pune,"Shop 1-6,82/2/2a, Sahkarnagar, Parvati, Pune, Maharashtra ",18.48,73.8496819997945,6.0
Precision Path Lab,Maharashtra,jaipur,"72/2, Shipra Path, Patel Marg, Mansarovar, Jaipur, Rajasthan",26.85,75.7731708,6.0
Ather Space Goa,Maharashtra,goa,"Betim-Pomburpa Rd, Alto- Betim Porvorim, Penha de Franu00e7a, Goa",15.52,73.825913,6.0
Ather test ride centre,Maharashtra,Hyderabad,"160/1, Patny Center, Sardar Patel Rd, Hyderabad, Telangana ",17.44,78.4798274,6.0
Prestige Khoday Tower,Maharashtra,bengaluru,"No 5, Raj Bhavan Road, Vasanth Nagar",12.98,77.594179,6.0
Prestige Saleh Ahmed,Maharashtra,bengaluru,"No 24, Lady Curzon Road, Tasker Town, Shivaji Nagar,",12.98,77.603318,6.0
Mama Panda,Maharashtra,vijayawada,"Royal arcade, beside sweet magic , opp to dvmanor, MG Rd, Vijayawada, Andhra Pradesh ",16.49,80.6481963,6.0
AtherSpace Mysore,Delhi,mysore,"#1A, A1, Hunsur Main Rd, Hinkal",12.32,76.611337,6.0
Bamboo & Biryani,Uttar Pradesh,vijayawada,"40-3-18, Kalyanam Ramarao St, Venkateswara Puram, Sidhartha Nagar, Labbipet, Vijayawada, Andhra Pradesh ",16.5,80.6472927,6.0
Lodha Venezia CPL,Haryana,Mumbai,"GD Ambekar Marg, Lal Baug, Parel, Mumbai, Maharashtra",18.99,72.841513,6.0
Cafe Peter,Delhi,pune,"Waman Ganesh Heights, Pashan Rd, Bavdhan, Pune, Maharashtra",18.51,73.7819022,6.0
Throttle Shrottle Moto Cafe,Delhi,gurugram,"Faridabad - Gurgaon Rd, Baliawas, Bandhwari, Haryana 122102",28.42,77.1405458,6.0
Inox R21,Maharashtra,ahmedabad,"Plot No 145, 2nd Floor, Royal Honda Showroom, Sector 21, Gandhinagar, Gujarat ",23.23,72.6682058,6.0
Inox R16,Maharashtra,ahmedabad,"Cluster_gandhinagar 2 Office, Sector 16, Gandhinagar, Gujarat ",23.23,72.648583,6.0
Acre Bengaluru,Maharashtra,bengaluru,"No 63 , International Airport Road, Meenugunte, Jala Hobli, Yelahanka, Taluk",13.18,77.644524,6.0
AtherSpace Hubli,Gujarat,hubli,"P. B. Road, Bhairidevarkoppa",15.38,75.1016179,6.0
Antares Restaurant and Beach Club,Karnataka,goa,"Small Vagator, Ozran Beach, Vagator, Goa ",15.59,73.7349023341238,6.0
The Wood Apple Cafe,Maharashtra,siliguri,"SONARTORI VILLAGE, Patel Road, Ward 2, Pradhan Nagar, Siliguri, West Bengal 734003",26.72,88.4163575,6.0
The Cindrella Hotel,Maharashtra,siliguri,"3rd Mile, Sevoke Rd, Chayan Para, Salugara, Siliguri, West Bengal 734008",26.75,88.4418232,6.0
Cafe Cornucopia,Maharashtra,mysore,"22nd Cross, 14th Main Rd, C Block, Vijay Nagar 3rd Stage, Garudachar Layout",12.31,76.603223,6.0
Ather Space Raipur,Uttar Pradesh,raipur,"EC Location:  Atherspace Raipur, Shop No.2, Ground Floor, Plot No. 11/5, Block No. 94, Beside Hotel Mayura, Jai Stambh Chowk, Raipur, Chhattisgarh",21.24,81.6347283,6.0
Ather Space - Janakpuri,Uttar Pradesh,Delhi," Ground floor, BF-1, Janakpuri, Jail Road, New Delhi 110058",28.62,77.1009332,6.0
Ather Space Surat,Telangana,surat,"G1 and G2, Milagro Milestone, opposite UM Road, Someshwara Enclave, Vesu, Surat, Gujarat ",21.15,72.778545,6.0
Ather Space - Lalbagh,Telangana,lucknow,"38 A Foresith Road, Near Novelty Cinema, opp. Daya Nidhan Park, Lalbagh, Lucknow, Uttar Pradesh 226001",26.84,80.9379184,6.0
Magenta House - Mumbai,Telangana,Mumbai,"TTC Industrial Area, MIDC Industrial Area, Sanpada, Navi Mumbai",19.06,73.0229869206999,6.0
"Ather Space, Trivandrum",Telangana,trivandrum,"Sycamore Complex, Plamoodu Junction, Pattom",8.514,76.9437173,6.0
"Ather space, Guindy, Chennai",Tamil Nadu,Chennai,"Near 111-110, Mount Rd, Guindy Institutional Area, Little Mount, Guindy, Chennai, Tamil Nadu ",13.01,80.2206032896631,6.0
Ranthal Gardens Restaurant,Uttar Pradesh,trivandrum,"near post office, Nemom, Kerala ",8.454,77.0024490353778,6.0
Kalikkalam Sports,Uttar Pradesh,trivandrum,"Opposite Infosys/UST, On Road Opposite Infosys Main Gate, behind Al Saj Arena, Poundukadavu",8.533,76.8807341186971,6.0
Ather Space Nagole,Maharashtra,Hyderabad,"Near Sunrise cars, Plot no.64/B, Mamatha Nagar, Nagole X Road, near Supraja Hospital, Hyderabad, Telangana ",17.37,78.5580849,6.0
MGS Tata Autofab,Maharashtra,lucknow,"C 52, Tedhi Pulia, Ring Road, Near Jagrani Hospital, Lucknow - 226022, Uttar Pradesh, India",26.89,80.9664589,6.0
The Hazelnut Factory,Gujarat,lucknow,"B 192, Niralanagar, Lucknow - 226020",26.87,80.9407119,6.0
"The Hazelnut Factory, Alambagh",Gujarat,lucknow,"LGF & UGF RB Tower, B-172, Kanpur Rd, Behind iDelta | Phoenix Mall, Lucknow, Lucknow, Uttar Pradesh 226005",26.79,80.8982589,6.0
